267	Campello	29 409	Alicante	 Comunidad Valenciana
268	Galdácano	29 285	 Vizcaya	 País Vasco
269	Carmona	29 279	 Sevilla	 Andalucía
270	Vinaroz	29 120	Castellón	 Comunidad Valenciana
271	Calafell	29 102	 Tarragona	 Cataluña
272	Redondela	29 055	 Pontevedra	 Galicia
273	Salou	29 028	 Tarragona	 Cataluña
274	San José	28 813	 Islas Baleares
275	Jávea	28 731	Alicante	 Comunidad Valenciana
276	Martorell	28 684	 Barcelona	 Cataluña
277	Catarroja	28 679	Valencia	 Comunidad Valenciana
278	Lepe	28 617	 Huelva	 Andalucía
279	Premiá de Mar	28 518	 Barcelona	 Cataluña
280	Candelaria	28 485	Santa Cruz de Tenerife	 Canarias
281	Villaviciosa de Odón	28 152	 Comunidad de Madrid
282	Seseña	28 102	 Toledo	 Castilla-La Mancha
283	Pineda de Mar	28 083	 Barcelona	 Cataluña
284	San Vicente dels Horts	28 079	 Barcelona	 Cataluña
285	La Oliva	27 945	Las Palmas	 Canarias
286	Benicarló	27 780	Castellón	 Comunidad Valenciana
287	Sueca	27 738	Valencia	 Comunidad Valenciana
288	Cártama	27 712	 Málaga	 Andalucía
289	Lebrija	27 665	 Sevilla	 Andalucía
290	Vícar	27 631	 Almería	 Andalucía
291	Camas	27 443	 Sevilla	 Andalucía
292	San Antonio Abad	27 431	 Islas Baleares
293	Almazora	27 383	Castellón	 Comunidad Valenciana
294	Morón de la Frontera	27 357	 Sevilla	 Andalucía
295	Sestao	27 342	 Vizcaya	 País Vasco
296	Algemesí	27 305	Valencia	 Comunidad Valenciana
297	Éibar	27 282	 Guipúzcoa	 País Vasco
298	San Andrés de la Barca	26 965	 Barcelona	 Cataluña
299	Riveira	26 897	La Coruña	 Galicia
300	Cangas de Morrazo	26 832	 Pontevedra	 Galicia
301	San Pedro del Pinatar	26 827	 Región de Murcia
302	Almuñécar	26 748	 Granada	 Andalucía
303	Jumilla	26 596	 Región de Murcia
304	Paiporta	26 567	Valencia	 Comunidad Valenciana
305	Paracuellos de Jarama	26 450	 Comunidad de Madrid
306	Alhaurín el Grande	26 436	 Málaga	 Andalucía
307	Bétera	26 289	Valencia	 Comunidad Valenciana
308	Piélagos	26 279	 Cantabria
309	Molins de Rey	26 242	 Barcelona	 Cataluña
310	Muchamiel	26 192	Alicante	 Comunidad Valenciana
311	Santa Perpetua de Moguda	25 930	 Barcelona	 Cataluña
312	Villanueva de la Serena	25 873	 Badajoz	 Extremadura
